Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
GBL;BE0003797140;GBLB;"Euronext Brussels";EUR;97.62;98.04;97.20;97.60;"18/01/22 17:35";CET;135356;13222336.84
"GENK LOGIST. CERT";BE0003740546;GENK;"Euronext Brussels";EUR;7.383;7.383;7.383;7.383;"13/01/22 11:30";CET;10;73.83
GIMV;BE0003699130;GIMB;"Euronext Brussels";EUR;53.80;54.00;53.40;53.70;"18/01/22 17:35";CET;10964;589010.40
GREENYARD;BE0003765790;GREEN;"Euronext Brussels";EUR;9.80;9.80;9.58;9.58;"18/01/22 17:35";CET;13327;128530.51
HAMON;BE0974352842;HAMO;"Euronext Brussels";EUR;0.788;0.788;0.752;0.782;"28/10/21 17:35";CET;1941;1491.68
"HOME INVEST BE.";BE0003760742;HOMI;"Euronext Brussels";EUR;126.00;126.00;124.00;124.50;"18/01/22 17:35";CET;1684;211167.00
"HYBRID SOFTWARE GR";GB00BYN5BY03;HYSG;"Euronext Brussels";EUR;5.20;5.20;5.10;5.15;"18/01/22 16:33";CET;1328;6800.90
HYLORIS;BE0974363955;HYL;"Euronext Brussels";EUR;17.55;17.55;17.10;17.45;"18/01/22 16:57";CET;3462;59728.85
IBA;BE0003766806;IBAB;"Euronext Brussels";EUR;14.90;14.90;14.28;14.32;"18/01/22 17:35";CET;13862;200017.20
IBM;US4592001014;IBMA;"Traded not listed Brussels";USD;135.90;135.90;135.90;135.90;"06/01/22 15:54";CET;50;6795.00
"IEP INVEST";BE0003748622;IEP;"Euronext Brussels";EUR;9.55;9.55;9.50;9.50;"18/01/22 16:15";CET;277;2643.60
"IMMO MCC";BE0974287196;MCC;"Euronext Brussels";EUR;533.20;533.20;533.00;533.00;"18/01/22 16:30";CET;5;2665.20
"IMMO MOURY";BE0003893139;IMMOU;"Euronext Brussels";EUR;43.00;43.00;41.40;41.40;"18/01/22 16:30";CET;967;40621.00
IMMOBEL;BE0003599108;IMMO;"Euronext Brussels";EUR;74.60;78.40;74.10;77.50;"18/01/22 17:35";CET;16965;1300220.70
"INCLUSIO SA/NV";BE0974374069;INCLU;"Euronext Brussels";EUR;18.86;18.86;18.86;18.86;"18/01/22 09:00";CET;256;4828.16
"ING GROEP N.V.";NL0011821202;INGA;"Euronext Amsterdam, Brussels";EUR;13.422;13.572;13.34;13.436;"18/01/22 17:35";CET;11698161;157431916.96
"INTEL CORP";US4581401001;INCO;"Traded not listed Brussels";USD;55.30;55.30;55.30;55.30;"18/01/22 16:44";CET;160;8848.00
"INTERVEST OFF-WARE";BE0003746600;INTO;"Euronext Brussels";EUR;28.25;28.25;27.85;27.85;"18/01/22 17:35";CET;7894;220442.90
JENSEN-GROUP;BE0003858751;JEN;"Euronext Brussels";EUR;31.80;32.30;29.80;29.90;"18/01/22 17:35";CET;7515;235660.20
KBC;BE0003565737;KBC;"Euronext Brussels";EUR;83.34;85.06;83.18;84.08;"18/01/22 17:35";CET;906810;76503304.40
"KBC ANCORA";BE0003867844;KBCA;"Euronext Brussels";EUR;46.00;46.70;45.72;46.28;"18/01/22 17:35";CET;74677;3454864.18
"KEYWARE TECH.";BE0003880979;KEYW;"Euronext Brussels";EUR;1.11;1.11;1.11;1.11;"18/01/22 12:03";CET;3024;3356.64
